@relation instruments

@attribute Id numeric
@attribute Name string
@attribute StyleId numeric
@attribute StyleName string
@attribute PathToSampleTable string
@attribute LowestMIDIPitch numeric
@attribute HighestMIDIPitch numeric

@data
50,Viola,1,tr161VLNOM,SampleLists/MUMS-RWC-Iowa/Viola-tr161VLNOM.arff,48,86
50,Viola,2,tr161VLNVM,SampleLists/MUMS-RWC-Iowa/Viola-tr161VLNVM.arff,48,86
50,Viola,3,tr161VLSOM,SampleLists/MUMS-RWC-Iowa/Viola-tr161VLSOM.arff,48,89
50,Viola,4,tr162VLNOM,SampleLists/MUMS-RWC-Iowa/Viola-tr162VLNOM.arff,48,86
50,Viola,5,tr162VLNVM,SampleLists/MUMS-RWC-Iowa/Viola-tr162VLNVM.arff,48,86
50,Viola,6,tr163VLNOM,SampleLists/MUMS-RWC-Iowa/Viola-tr163VLNOM.arff,48,86
50,Viola,7,tr163VLNVM,SampleLists/MUMS-RWC-Iowa/Viola-tr163VLNVM.arff,48,86
50,Viola,8,Violas_Essential,SampleLists/Komplete/Violas_Essential.arff,48,88
50,Viola,9,Violas_SessionStringsPro,SampleLists/Komplete/Violas_SessionStringsPro.arff,48,84
51,Violin,1,tr151VNNOM,SampleLists/MUMS-RWC-Iowa/Violin-tr151VNNOM.arff,55,90
51,Violin,2,tr151VNNVM,SampleLists/MUMS-RWC-Iowa/Violin-tr151VNNVM.arff,57,90
51,Violin,3,tr151VNSOM,SampleLists/MUMS-RWC-Iowa/Violin-tr151VNSOM.arff,55,90
51,Violin,4,tr152VNNOM,SampleLists/MUMS-RWC-Iowa/Violin-tr152VNNOM.arff,57,90
51,Violin,5,tr152VNNVM,SampleLists/MUMS-RWC-Iowa/Violin-tr152VNNVM.arff,57,90
51,Violin,6,tr153VNNOM,SampleLists/MUMS-RWC-Iowa/Violin-tr153VNNOM.arff,57,90
51,Violin,7,tr153VNNVM,SampleLists/MUMS-RWC-Iowa/Violin-tr153VNNVM.arff,57,90
51,Violin,8,Violins1_Essential,SampleLists/Komplete/Violins1_Essential.arff,55,100
51,Violin,9,Violins2_Essential,SampleLists/Komplete/Violins2_Essential.arff,55,100
51,Violin,10,Violins_SessionStringsPro,SampleLists/Komplete/Violins_SessionStringsPro.arff,55,96
